,Year,Annual_Cyclones,Sahel_Annual,AMO_Annual,ENSO_Annual,TEMP_Annual,precip,Conus_temp,NE_temp,nao_sst,nta_index,TNA_sst,AMM_sst,Nina_index,TSA_index,NAO_Jones,rh_value,NJ_precip_x,NJ_precip_y,Cyclone
31,1981,2,0.3779527559055118,-0.10575,-0.425,79.34,0.05,0.13,-0.5,-0.384,-0.222,0.12,0.608,-0.226,0.044,0.49,29.734,-2.42,6.0,0
32,1982,0,-2.125984251968504,-0.242,0.2,78.7,0.07,-0.42,-0.9,0.324,-0.418,-0.268,-1.46,1.226,-0.376,0.55,28.112,-3.15,5.27,0
33,1983,1,-3.448818897637796,-0.1004166666666666,1.725,78.97999999999999,-1.17,1.35,1.8,0.95,-0.03,0.052,-0.116,-0.064,-0.176,0.305,33.489,-2.34,6.08,0
34,1984,3,-4.011811023622048,-0.2375,-0.425,78.34,-0.71,-0.38,-0.3,0.386,-0.354,-0.346,-3.192,-0.342,0.642,0.57,33.418,-4.01,4.41,0
35,1985,2,-0.8267716535433072,-0.29725,-0.8500000000000001,79.67999999999999,0.75,-0.92,0.1,0.228,-0.342,-0.146,-0.45,-0.466,0.14,0.89,32.816,1.2,9.62,0
36,1986,0,-0.5511811023622047,-0.3048333333333333,-0.375,79.63999999999999,1.28,-0.55,-1.1,0.282,-0.506,-0.308,-2.832,0.454,0.25,-0.1,32.574,-1.48,6.94,0
37,1987,0,-2.188976377952756,0.0361666666666666,1.1,78.72,-0.12,-0.06,0.3,-0.51,0.3,0.502,0.86,1.512,0.418,-0.94,33.153,0.29,8.71,0
38,1988,2,2.295275590551181,-0.0355833333333333,0.275,78.43999999999998,0.2,0.83,1.5,-0.136,-0.026,0.1,0.768,-1.276,0.472,0.2425,37.569,-2.26,6.16,0
39,1989,0,0.8622047244094488,-0.1134999999999999,-1.2499999999999998,79.06,0.39,-0.32,0.1,0.71,-0.128,0.13,1.246,-0.288,0.29,0.565,33.466,3.3,11.72,0
40,1990,0,-2.2086614173228347,-0.0694166666666666,0.225,79.79999999999998,-0.25,0.77,0.3,0.782,0.07,0.23,1.228,0.352,-0.026,0.79,33.867,1.97,10.39,0
